,셰프,닉네임,식당,주소,URL,별점,리뷰 수,스타일,매장 설명,기타 정보
0,최강록,최강록,식당네오,서울특별시 송파구 삼전로12길 4 1층 101호,https://app.catchtable.co.kr/ct/shop/neo_?type=DINING,4.9,642,일식,마스터 셰프 코리아2 우승자 최강록 셰프의 술안주 위주의 요리를 코스로 제공하는 주점,"점심 영업안함 , 저녁 7.7만원룸 , 노키즈존 , 단체 , 이용가능 , 홀 , 바"
1,권성준,나폴리 맛피아,비아톨레도 파스타바,서울특별시 용산구 원효로83길 7-2 1층,https://app.catchtable.co.kr/ct/shop/viatoledo?type=DINING,4.8,494,파스타,나폴리를 담고 있는 파스타바,"점심 영업안함 , 저녁 가격 변동콜키지 , 가능 , 단체 , 이용가능 , 대관 , 가능"
2,윤남노,요리하는 돌아이,디핀 deepin,서울특별시 중구 퇴계로 411 1층,https://app.catchtable.co.kr/ct/shop/deepin?type=DINING,4.9,1038,다이닝바,흑백요리사 요리하는 돌아이 윤남노 셰프의 음식과 분위기가 완벽한 와인바,"점심 영업안함 , 저녁 1-5만원콜키지 , 가능 , 노키즈존 , 단체 , 이용가능 , 대관 , 가능 , 레터링"
3,강승원,트리플스타,트리드 (trid),서울특별시 강남구 선릉로162길 16 2층,https://app.catchtable.co.kr/ct/shop/trid?type=DINING,4.8,667,코스요리,미쉐린 3스타 레스토랑 출신 흑백요리사 트리플스타 강승원 셰프가 풀어내는 다국적 감성의 컨템포러리 다이닝,"점심 12만원 , 저녁 20만원주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 노키즈존 , 단체 , 이용가능 , 대관 , 가능 , 전문 , 소믈리에 , 레터링"
4,윤남노,요리하는 돌아이,디핀 옥수,서울특별시 성동구 독서당로 194 지하 1층,https://app.catchtable.co.kr/ct/shop/deepin_oksu?type=DINING,4.6,2031,파스타,흑백요리사 요리하는 돌아이 윤남노 셰프의 아시안 터치를 가미한 Fresh Pasta 레스토랑입니다.,"점심, 저녁 동일가 , 2-3만원콜키지 , 가능 , 노키즈존 , 단체 , 이용가능 , 대관 , 가능 , 레터링"
5,최현석,최현석,CHOI. 쵸이닷,서울특별시 강남구 도산대로 457 앙스돔빌딩 3층,https://app.catchtable.co.kr/ct/shop/choidot?type=DINING,4.5,2066,이탈리아음식,대한민국 대표 스타셰프 최현석 셰프의 독창적인 요리를 즐길 수 있는 이탈리안 기반의 파인 다이닝,"점심 9.8만원 , 저녁 19.8만원주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 노키즈존 , 단체 , 이용가능 , 홀 , 대관 , 가능 , 레터링"
6,임태훈,철가방 요리사,도량,"서울특별시 종로구 자하문로6길 6 백송빌딩 2, 3층",https://app.catchtable.co.kr/ct/shop/dolyang?type=WAITING,4.8,118,중식,맛있는 훠궈와 중화요리가 있는 식당,"양고기 튀김 , 30,000원대기공간 , 주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 무선인터넷 , 아기의자"
7,정지선,정지선,티엔미미 홍대,서울특별시 마포구 양화로 144 MERCURE 앰배서더 HOTEL 홍대 4층,https://app.catchtable.co.kr/ct/shop/tianmimihongdae?type=WAITING,4.5,85,중식,한국 최초 여성 중식 스타 셰프 정지선 셰프의 첫 만남의 기억처럼 계속 생각나는 딤섬 전문 중식당  인연은 다시 만나듯 모든 재료가 인연이 되어 고급스럽고  다채로운 맛을 선사하는 광동식 중국요리,"티엔미미 해산물냉채 , 41,000원단체 , 이용가능 , 무선인터넷"
8,김태성,히든천재,PONO BUONO 포노 부오노,서울특별시 강남구 도산대로45길 8-7 2층,https://app.catchtable.co.kr/ct/shop/ponobouno?type=DINING,4.8,248,이탈리아음식,"COMFY, VIBEY, BEVI ! 사브서울 총괄셰프 출신 흑백요리사 히든천재의 PONO BUONO","점심 영업안함 , 저녁 1-5만원룸 , 주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 웰컴키즈존 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 대관 , 가능 , 전문 , 소믈리에"
9,조광효,만찢남으,조광201,서울특별시 송파구 새말로8길 13 2층 201호(문정동),https://app.catchtable.co.kr/ct/shop/cho__kwang?type=DINING,4.8,87,중식,만화책으로 요리를 시작한 흑백요리사 만찢남의 동파육으로 유명한 사천요리 전문점,"점심 영업안함 , 저녁 1-3만원콜키지 , 가능 , 단체 , 이용가능 , 홀"
10,조은주,조은주,프렌치 터치더스카이,서울특별시 영등포구 63로 50 63한화생명빌딩 한화금융센터_63,https://app.catchtable.co.kr/ct/shop/touchthe_sky?type=DINING,5.0,2,코스요리,세계 3대 요리 대회 2관왕 조은주 셰프의 한강이 한눈에 들어오는 눈부신 전망의 다이닝 레스토랑,"점심 14-25만원 , 저녁 19-30만원주차 , 가능 , 단체 , 이용가능 , 홀 , 아기의자"
11,장호준,장호준,캐비스트리,서울특별시 강남구 도산대로37길 21 1층,https://app.catchtable.co.kr/ct/shop/Cavistry?type=DINING,4.7,416,스페인음식,개성있는 창작 타파스와 핀초등 스페인음식에 기반을둔 음식들을 선보입니다.,"점심 영업안함 , 저녁 7.9만원룸 , 주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 노키즈존 , 단체 , 이용가능 , 홀 , 바 , 대관 , 가능 , 레터링"
12,최현석,최현석,달리아 다이닝,서울특별시 강남구 도산대로45길 14 2층,https://app.catchtable.co.kr/ct/shop/dahlia_dining?type=DINING,4.7,208,베지테리안/비건,대한민국 대표 스타셰프 최현석 셰프의 비건 다이닝,"점심, 저녁 동일가 , 2-3만원주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 웰컴키즈존 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 아기의자 , 대관 , 가능 , 레터링"
13,장호준,장호준,네기스키야키 압구정점,서울특별시 강남구 논현로 854 지하1층 네기스키야키,https://app.catchtable.co.kr/ct/shop/negisgyg?type=DINING,4.5,686,일식,유명 호텔 일식당 출신 장호준 셰프의 한우 1++ 등심으로 즐기는 정통 스키야키 맛집,"점심 2-8만원 , 저녁 7-15만원주차 , 가능 , 콜키지 , 가능 , 웰컴키즈존 , 단체 , 이용가능 , 홀 , 바 , 대관 , 가능"
14,임희원,셀럽의 셰프,부토(BUTO),서울특별시 용산구 한남대로27가길 32 지2층,https://app.catchtable.co.kr/ct/shop/butohannam?type=DINING,4.7,87,다이닝바,흑백요리사 셀럽의 셰프의 철학이 깃든 모던 한식 다이닝바,"점심 영업안함 , 저녁 1-4만원콜키지 , 가능 , 홀 , 바"
15,남정석,남정석,로컬릿x스텔라 고메데이,서울특별시 성동구 한림말길 33 청훈빌딩,https://app.catchtable.co.kr/ct/shop/localeatstellagourmetday?type=DINING,0.0,0,이탈리아음식,,"오늘 (화) , 휴무일홀"
16,장호준,장호준,네기 라이브,서울특별시 성동구 성수이로 97 5층,https://app.catchtable.co.kr/ct/shop/negilive?type=DINING,4.8,448,일식,유명 호텔 일식당 출신 장호준 셰프의 제철 식재료와 갑각류를 기반으로 펼쳐내는 라이브한 일본요리코스,"점심 15만원 , 저녁 25만원주차 , 가능 , 발렛 , 가능 , 콜키지 , 가능 , 홀 , 대관 , 가능"
17,배경준,원투쓰리,본연,서울특별시 강남구 논현로 742 파티오나인 7층,https://app.catchtable.co.kr/ct/shop/bornyon?type=DINING,4.9,104,한식,"미쉐린 1,2,3스타 경력, 흑백요리사 원투쓰리 배경준 셰프의 코리안 우드파이어 레스토랑","점심 영업안함 , 저녁 13만원주차 , 가능 , 콜키지 , 가능 , 단체 , 이용가능 , 홀 , 대관 , 가능 , 전문 , 소믈리에"
18,송하슬람,반찬 셰프,마마리마켓&펍,서울특별시 성동구 연무장18길 16,https://app.catchtable.co.kr/ct/shop/vingle_restaurant-mingles?type=DINING,4.5,425,다이닝바,"스페인 미쉐린 출신 흑백요리사 반찬셰프의 반찬외식브랜드 마마리 마켓&펍.1층 <마마리 마켓> 빵이나 반찬 구입 후 2층 <마마리 펍>에서 이용 가능하며, 단품 메뉴도 준비되어 있습니다.","점심, 저녁 동일가 , 1-4만원콜키지 , 가능 , 웰컴키즈존 , 반려동물 , 동반 , 단체 , 이용가능 , 홀 , 아기의자 , 대관 , 가능"
19,황진선,황진선,진진,서울특별시 마포구 월드컵북로1길 60 1층 진진,https://app.catchtable.co.kr/ct/shop/jinjin?type=WAITING,4.4,75,중식,2017-2019 미쉐린 1스타 황진선 셰프와 왕육성 셰프의 고품격 차이니즈 레스토랑,"1인당 , 1-15만원콜키지 , 가능 , 웰컴키즈존 , 무선인터넷"
20,최현석,최현석,중앙감속기,서울특별시 성동구 성수일로6길 7-1 1층,https://app.catchtable.co.kr/ct/shop/tyioop77?type=DINING,4.4,874,퓨전음식,대한민국 대표 스타셰프 최현석 셰프와 김용성 셰프의 차이니즈 이탈리안 퓨전 레스토랑,"점심, 저녁 동일가 , 1-4만원콜키지 , 가능 , 단체 , 이용가능 , 홀 , 바 , 대관 , 가능"
